game_id,home_score,away_score,target_home_win,home_win_pct_L5,home_GF_L5,home_GA_L5,home_rest_days,away_win_pct_L5,away_GF_L5,away_GA_L5,away_rest_days
2025020077,4,5,0,0.4,3.2,5.0,2.0,0.2,2.4,4.2,2.0
2025020088,0,3,0,0.0,2.6,5.0,1.0,0.6,3.0,3.0,2.0
2025020079,3,4,0,0.6,3.8,3.2,2.0,0.4,3.4,3.4,2.0
2025020091,2,1,1,0.4,3.6,2.8,2.0,0.4,2.8,3.6,3.0
2025020092,3,2,1,0.6,2.8,2.2,2.0,0.4,3.2,3.6,1.0
2025020090,4,2,1,0.8,3.2,2.4,2.0,0.4,2.6,2.8,1.0
2025020089,3,4,0,0.8,2.8,1.6,2.0,0.6,3.2,2.8,2.0
2025020095,4,2,1,0.8,3.8,2.6,2.0,0.4,2.6,2.8,2.0
2025020097,4,1,1,0.8,4.2,2.6,2.0,1.0,4.6,2.2,2.0
2025020096,1,2,0,0.0,1.4,4.4,2.0,0.8,4.2,2.4,2.0
2025020093,1,3,0,0.4,2.2,1.8,2.0,0.2,2.4,4.4,2.0
2025020094,5,2,1,0.4,2.6,2.8,2.0,0.6,3.2,2.8,2.0
2025020105,2,5,0,0.2,2.6,3.6,3.0,0.4,2.8,3.6,2.0
2025020103,3,4,0,0.2,2.8,3.6,2.0,0.2,2.0,3.4,3.0
2025020106,1,5,0,0.6,3.8,3.6,3.0,0.4,2.8,3.0,3.0
2025020107,4,3,1,0.8,3.2,2.2,2.0,0.8,3.4,1.8,3.0
2025020099,2,3,0,0.2,3.0,5.2,3.0,0.4,2.4,2.8,2.0
2025020104,1,2,0,0.6,3.0,3.6,3.0,0.2,3.2,4.0,3.0
2025020098,2,5,0,0.4,3.4,3.6,3.0,0.8,3.8,3.0,3.0
2025020100,4,3,1,0.4,3.2,3.8,3.0,0.0,2.6,5.0,3.0
2025020101,5,1,1,0.6,3.0,3.0,3.0,0.6,3.0,3.2,2.0
2025020102,4,1,1,0.8,3.2,1.8,2.0,0.4,3.0,3.6,1.0
2025020109,4,2,1,0.4,3.0,2.8,2.0,1.0,3.8,1.8,3.0
2025020110,1,2,0,0.0,1.4,3.8,2.0,0.8,3.6,2.8,2.0
2025020108,4,1,1,1.0,4.2,2.2,1.0,0.4,2.2,3.2,2.0
2025020111,5,7,0,0.0,2.8,4.2,2.0,0.6,3.6,3.4,2.0
2025020121,4,5,0,0.6,3.6,2.4,2.0,0.8,3.6,2.4,3.0
2025020113,2,3,0,0.2,2.4,3.2,5.0,0.6,3.4,2.2,4.0
2025020119,2,3,0,0.4,3.0,3.8,2.0,0.2,2.4,3.2,2.0
2025020115,7,2,1,0.6,3.4,3.6,2.0,0.8,3.0,2.0,1.0
2025020122,6,5,1,0.4,2.4,3.0,2.0,0.8,3.4,2.6,1.0
2025020114,3,5,0,0.2,1.6,3.6,2.0,0.6,3.2,2.6,2.0
2025020118,2,1,1,0.2,2.6,4.0,2.0,0.6,3.0,3.6,2.0
2025020116,5,6,0,0.2,1.2,2.2,3.0,0.0,2.6,5.0,2.0
2025020112,2,1,1,0.2,3.0,4.6,2.0,0.6,3.4,2.8,3.0
2025020120,0,3,0,1.0,3.8,1.6,3.0,0.2,2.8,4.2,2.0
2025020117,4,7,0,0.6,3.2,3.0,2.0,0.8,3.4,2.4,2.0
2025020123,5,3,1,0.6,3.6,2.6,2.0,0.4,3.2,3.4,3.0
2025020125,1,5,0,0.6,3.6,2.8,3.0,0.8,3.2,1.6,3.0
2025020126,5,3,1,0.8,3.2,1.8,1.0,0.0,1.2,3.4,2.0
2025020124,3,1,1,1.0,4.0,1.8,2.0,0.2,2.6,4.6,1.0
2025020129,4,3,1,0.2,2.2,2.8,2.0,0.6,3.6,3.2,2.0
2025020128,3,2,1,0.0,3.2,4.8,2.0,0.6,3.6,2.4,2.0
2025020132,4,3,1,0.4,3.4,3.8,1.0,0.8,4.4,2.6,1.0
2025020138,3,2,1,0.2,2.4,3.6,2.0,0.8,3.8,2.6,2.0
2025020134,4,5,0,0.8,4.0,2.0,2.0,0.4,2.4,3.0,1.0
2025020133,6,4,1,0.6,2.8,3.0,2.0,0.4,3.2,4.0,2.0
2025020139,3,2,1,0.4,2.6,3.2,2.0,0.4,3.2,4.0,2.0
2025020130,3,0,1,0.2,1.8,3.6,2.0,0.8,4.2,2.2,5.0
2025020137,5,4,1,0.2,2.2,4.0,2.0,0.4,2.6,3.0,2.0
2025020131,2,6,0,0.2,1.6,3.4,3.0,1.0,4.6,2.6,2.0
2025020136,3,4,0,0.6,2.8,3.0,2.0,0.6,3.4,3.0,2.0
2025020127,4,3,1,0.6,3.0,2.4,2.0,0.8,4.4,3.2,2.0
2025020135,1,7,0,0.8,4.0,1.8,1.0,0.4,3.2,4.0,2.0
2025020146,5,1,1,0.0,1.4,3.6,2.0,0.2,2.2,3.2,3.0
2025020144,1,3,0,0.8,3.6,2.0,3.0,0.4,2.8,3.2,1.0
2025020140,4,3,1,1.0,4.0,1.6,2.0,0.4,3.4,2.8,1.0
2025020145,2,3,0,0.4,2.4,3.4,1.0,0.2,2.0,3.6,1.0
2025020147,4,3,1,0.4,2.4,3.2,1.0,0.4,3.2,3.8,1.0
2025020142,5,6,0,0.2,1.6,3.6,1.0,0.2,2.6,4.2,2.0
2025020141,2,1,1,0.2,2.2,2.8,1.0,0.8,4.0,2.4,1.0
2025020143,2,3,0,0.8,3.2,2.0,2.0,1.0,5.2,2.8,1.0
2025020149,7,2,1,0.6,3.8,2.6,2.0,0.2,2.8,4.0,2.0
2025020148,6,3,1,0.8,4.2,2.2,2.0,0.2,3.0,4.8,2.0
2025020153,2,3,0,0.4,2.2,2.8,3.0,0.4,3.4,3.4,3.0
2025020154,5,2,1,0.2,3.0,4.6,1.0,0.8,4.6,3.0,3.0
2025020152,3,4,0,0.6,3.4,2.6,3.0,0.6,3.0,3.2,3.0
2025020155,3,6,0,0.6,3.2,3.0,3.0,0.6,3.4,2.4,2.0
2025020151,4,3,1,0.4,2.8,3.6,3.0,0.2,2.2,3.2,2.0
2025020160,7,3,1,0.6,3.2,2.4,2.0,0.6,4.4,2.4,1.0
